Taxa	Race	FT	Biomass_BLUE	PH4wap_BLUE	PH6wap_BLUE	PH8wap_BLUE	PH10wap_BLUE	PH12wap_BLUE	PH14wap_BLUE	PH16wap_BLUE	SLA_BLUE	SD_BLUE	Starch_BLUE	SLA_NEW
NSL55671	Durra	1	11.30360168	31.32639328	71.45840638	189.6571163	304.9722806	346.7657703	393.0131597	413.8899752	215.23951	59.51908509	25.16340883	213.1119828
NSL55725	Durra	0	6.653470173	27.94955421	53.11952101	129.6164465	203.2178356	268.3598685	304.0998113	303.8255076	213.359965	58.42214728	25.52234996	214.3654405
NSL55731	Durra	1	10.37643915	29.78232821	60.46486281	147.1013075	215.471349	272.0400653	305.787006	350.3787162	219.5922271	60.27179249	26.64481657	220.0727436
NSL55749	Caudatum	0	10.02844469	30.84769564	58.86372179	134.832061	207.990549	257.4801381	300.9256445	335.9204985	234.9947844	70.45054709	26.22649709	235.7105731
NSL67916	Durra	1	9.412283955	32.31004331	66.88167311	171.7658067	275.2814928	327.7458649	380.3603609	401.5364314	207.7812706	62.23195712	24.45098482	209.9154219
NSL67921	Durra	1	10.00758171	29.44815634	59.86072151	150.8521412	198.4253264	282.5198654	313.9063575	353.5496023	212.4590405	61.0350006	24.8345159	212.8659398
PI147828	Durra	0	9.773775528	30.03141762	58.94489786	147.9036435	264.0530935	309.0338479	339.8545678	381.0271813	206.0804591	58.41557059	24.7619062	205.9460681
PI147838	Durra	1	10.25333982	31.61768559	72.25697003	217.5236438	330.0881716	370.5269757	412.7751603	412.9479025	245.9356551	59.00908568	25.54933111	247.6986017
PI147933	Durra	0	6.609015177	30.71373127	57.36873789	143.3213242	244.2168579	281.1141829	299.6069843	306.6239734	233.4358342	61.40176293	25.49285804	235.0868781
PI147937	Durra	0	NA	28.26	60.79	142.45	227.34	277.38	320.96	359.65	268.3703576	56.07032052	NA	264.0856953
PI147938	Durra	0	6.359291746	28.44514966	58.78255551	130.0310465	199.6399295	277.5267683	319.2703765	360.9744205	236.1971527	63.84623369	25.42629597	238.0642143
PI147939	Durra	0	NA	28.26	60.79	142.45	227.34	277.38	320.96	359.65	233.8702827	58.16113781	NA	232.5345714
PI148083	Durra	NA	12.00280893	31.2757232	63.56003507	185.1292117	301.826504	363.1377379	382.1491922	416.3748215	215.1199777	61.60708195	26.50896869	220.1035349
PI148084	Durra	1	8.149199447	33.4438105	73.54914812	185.9364063	288.3859161	344.3634613	396.760947	408.3222577	236.034148	57.19746191	25.75702029	236.6179553
PI148086	Durra	0	6.078754503	30.99536109	70.26249381	184.106576	286.8757389	310.0410747	381.635077	408.3062557	231.8119409	59.10813077	25.54200923	225.6644806
PI148089	Durra	0	8.522823704	32.40502363	73.454305	184.8180132	296.9662141	344.9444391	396.3945456	415.1936417	238.9773858	57.44500105	24.94550015	239.6251132
PI148101	Durra	1	9.202832044	28.81188373	65.441288	182.6053322	282.2850964	350.7218893	359.5189561	392.5003901	229.7596373	65.02260875	24.77887758	235.1256266
PI148114	Durra	1	8.282463166	30.65755597	67.9735199	187.2264795	264.0172582	350.6088543	396.3876851	399.5025081	220.1540136	63.05987213	25.1286375	220.6818453
PI149831	Caudatum	0	10.54077316	29.13750738	63.4724839	133.11112	178.4300448	224.3157278	256.8552133	296.3617473	232.2461038	67.24715966	23.34366854	234.1186999
PI151198	Durra	0	4.951605896	27.56332672	54.77553463	115.3607357	187.8992576	236.3162849	265.7636757	298.6857881	247.1487215	60.67946917	26.6890446	241.9980854
PI152594	Durra	1	9.40383337	26.50194227	55.38363842	144.9259501	238.927223	279.4803806	321.967897	370.4986732	228.2122387	64.05312855	24.88959269	228.8865903
PI152636	Caudatum	0	12.52521408	27.60098363	57.5755856	133.8677978	219.3707615	285.0166373	328.2213644	378.3593967	240.9881594	62.72424815	24.91419972	240.5847742
PI152654	NA	0	9.117510705	25.20035118	58.48903179	146.6663383	242.7510859	275.8632097	322.8237645	365.6793805	242.185673	58.30991343	25.01262783	242.1389346
PI152702	Caudatum	NA	11.3262535	26.0099916	65.56065196	164.4998889	255.8848574	317.1001284	345.3672244	370.9782474	227.7374645	60.57607926	24.2541286	228.4735913
PI152705	Caudatum	0	10.53951291	27.14355857	63.18668763	150.4753153	260.9258955	300.8535828	339.8345123	377.8448487	238.6297121	61.09310056	24.26976563	239.8990681
PI152730	Caudatum	0	10.23457419	26.47519379	57.94787407	103.8375822	157.8230791	228.2989958	261.8267319	288.446952	232.3828112	65.81476569	24.49467641	235.556746
PI152748	Caudatum	0	12.59493007	31.96669354	62.08035836	134.2763049	221.9699532	279.8290328	332.7712226	375.8933706	265.7947471	54.84223346	24.9527393	260.6563402
PI153824	Caudatum	0	10.89980032	28.75403441	61.6421685	128.6209868	189.177503	238.9216894	302.6639206	327.0670253	256.4348207	58.51948167	24.80874613	256.5747717
PI153844	Caudatum	0	9.058473062	30.92678696	62.1923685	161.9401705	243.3580102	310.9998585	353.269938	387.2681785	220.5015396	67.53665205	24.86145466	226.9925483
PI153852	Caudatum	0	8.857511977	28.28836641	60.1730631	123.2689321	194.8103465	238.951114	276.5419055	340.6202483	258.9720411	57.92419483	24.37284509	259.4446274
PI153860	Caudatum	0	11.4167332	29.10280088	62.92228038	150.83427	241.8190452	288.7699275	338.1523734	352.2900991	250.4155029	64.61184236	26.69403063	251.3105836
PI185458	NA	0	11.70608874	24.78251506	59.92055373	151.7133641	251.9128492	278.7061112	326.3134376	352.3846353	212.9906083	64.32222907	24.49022776	214.4024023
PI221624	Guinea	0	11.96033588	30.02304878	57.74595226	126.9584196	185.7019725	278.9030869	296.0944978	349.1659862	264.9021763	61.87315477	24.88256722	264.9516022
PI221651	Guinea	0	9.603173517	31.64082962	59.6754335	135.4555237	220.5024585	260.522201	311.8746824	357.6102193	252.6997727	59.54322346	24.30714886	252.0379839
PI221662	Durra	0	9.821216907	29.54716839	59.53171803	150.23436	232.0423782	286.7255343	332.8832652	377.4035473	229.6477729	59.00930818	25.10403047	229.4511153
PI248317	Durra	0	11.65878091	26.0779304	52.7295207	148.9848446	251.1936264	308.3027531	353.6055399	396.0290552	233.5858548	65.50983155	25.04986866	227.4194294
PI267542	Guinea	0	11.12537007	30.47472129	64.32308404	142.5781212	245.6335616	317.3676383	360.8566651	385.2111689	241.1549307	61.98040562	24.2451586	240.073857
PI267614	Guinea	0	11.94543211	27.6073948	59.82824598	158.1444816	282.572599	314.6482203	356.4048721	402.7538683	224.8864182	62.26628852	26.52536925	227.0036723
PI267643	Durra	0	6.270496804	28.89880663	55.83417186	92.51593695	151.3509752	192.5290631	208.0543264	240.81329	219.7789505	60.57467953	25.00299848	221.4721402
PI267650	Durra	1	11.14825395	30.0200714	63.57198019	151.3929539	279.4836383	318.2640381	363.6264959	409.7591456	211.5197757	59.64350615	24.78651323	210.2263682
